filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_dewpoint_ge_70,weather_single,2017,14,8,6,0.5714285714285714,1.2727272727272725,0.0909090909090909
hgb_under_3p5_dewpoint_ge_70,weather_single,2018,27,13,14,0.48148148148148145,-2.181818181818181,-0.08080808080808079
hgb_under_3p5_dewpoint_ge_70,weather_single,2019,6,4,2,0.6666666666666666,1.6363636363636362,0.2727272727272727
hgb_under_3p5_dewpoint_ge_70,weather_single,2020,6,2,4,0.3333333333333333,-2.1818181818181817,-0.3636363636363636
hgb_under_3p5_dewpoint_ge_70,weather_single,2021,16,9,7,0.5625,1.1818181818181817,0.07386363636363635
hgb_under_3p5_dewpoint_ge_70,weather_single,2022,7,3,4,0.42857142857142855,-1.272727272727273,-0.18181818181818185
hgb_under_3p5_dewpoint_ge_70,weather_single,2023,3,3,0,1.0,2.727272727272727,0.9090909090909091
hgb_under_3p5_dewpoint_ge_70,weather_single,2024,9,4,5,0.4444444444444444,-1.3636363636363638,-0.15151515151515152
hgb_under_3p5_dewpoint_ge_75,weather_single,2016,3,1,2,0.3333333333333333,-1.0909090909090908,-0.3636363636363636
hgb_under_3p5_dewpoint_ge_75,weather_single,2017,6,3,3,0.5,-0.2727272727272727,-0.04545454545454545
hgb_under_3p5_dewpoint_ge_75,weather_single,2018,6,2,4,0.3333333333333333,-2.1818181818181817,-0.3636363636363636
hgb_under_3p5_dewpoint_ge_75,weather_single,2021,2,1,1,0.5,-0.09090909090909094,-0.04545454545454547
hgb_under_3p5_dewpoint_ge_75,weather_single,2024,1,0,1,0.0,-1.0,-1.0
hgb_under_3p5_precip_any,weather_single,2016,25,15,10,0.6,3.6363636363636362,0.14545454545454545
hgb_under_3p5_precip_any,weather_single,2017,26,14,12,0.5384615384615384,0.7272727272727273,0.027972027972027972
hgb_under_3p5_precip_any,weather_single,2018,37,21,16,0.5675675675675675,3.0909090909090913,0.08353808353808355
hgb_under_3p5_precip_any,weather_single,2019,17,11,6,0.6470588235294118,3.9999999999999996,0.2352941176470588
hgb_under_3p5_precip_any,weather_single,2020,12,4,8,0.3333333333333333,-4.363636363636363,-0.3636363636363636
hgb_under_3p5_precip_any,weather_single,2021,43,23,20,0.5348837209302325,0.9090909090909083,0.021141649048625775
